id,DocumentId,Title,OtherProperty,RelType,RelID,RelTitle,RelCType,TextSize,ClusterText,title,Filename,WebPageAddress
COLLECT1009111622,COLLECT1009111622,"Honor\, Respect\, Devotion to Duty: ME3 Denim Kurtis",18329330401559792486214.pdf,Child,COLLECT1009111630,"Image 0 - Honor\, Respect\, Devotion to Duty: ME3 Denim Kurtis",Attachment,7827,"Honor, Respect, Devotion to Duty: ME3 Denim Kurtis
Posted by Diana Sherbs, Friday, May 10, 2019
Written by Chief Petty Officer John Masson
Petty Officer 3rd Class Denim Kurtis dons law enforcement gear aboard U.S. Coast Guard Cutter Bertholf (WMSL 750) Feb. 24, 2019. Bertholf is operating in the Western Pacific in support of the U.S. Navy’s 7th Fleet. U.S. Coast Guard photo by Chief Petty Officer John Masson.
 
For Petty Officer 3rd Class Denim Kurtis, law enforcement is a family affair. His mother is a deputy sheriff, and his father-in-law is an investigator for the San Francisco district attorney’s office.
So when Kurtis felt the call to serve his country, the Coast Guard’s maritime enforcement specialty was a natural fit. He initially joined as a reservist at a San Francisco-based port security unit before integrating into the active duty force almost three years ago. Today the San Jose, California, native serves aboard U.S. Coast Guard Cutter Bertholf (WMSL 750) , operating in the Western Pacific.
“I honestly enjoy it quite a bit,” Kurtis says of his duties aboard the 418-foot national security cutter .
Whether those duties include drug interdiction in the Caribbean or Eastern Pacific Ocean or enforcing United Nations sanctions in the Western Pacific, Kurtis – one of two maritime enforcement specialists assigned to the ship – stays busy.
“The best part of my job is teaching maritime law enforcement to my shipmates, and making them as excited about our job as I am,” Kurtis says. “Also, being able to see different parts of the world, in areas I never thought to travel, has been eye-opening and a life-changing experience, in itself.”
Kurtis takes particular pride in keeping drugs out of the United States as part of the ship’s counter-narcotics missions.
“It’s an all-encompassing task when you’re out there,” Kurtis said. “We do it all, from gathering intelligence to the actual enforcement, then detention and offload” of seized illegal drugs. “It’s great to see it loaded off the boat and destroyed by the Drug Enforcement Administration.”
His supervisor, Petty Officer 1st Class Jon-Paul Smith, said Kurtis sets an excellent example for more junior service members.
“He’s a very outgoing individual,” Smith said. “He presents himself well, and he’s used to presenting on a level that is definitely higher than his paygrade.”
Smith said Kurtis has explained Bertholf’s law enforcement missions – and the Coast Guard’s – to large groups of foreign dignitaries and American congressional leaders. In addition, he takes a leading role in Bertholf’s law enforcement boardings, including one noteworthy search of a suspicious fishing vessel during which Kurtis located a large quantity of cocaine in a fish hold. The seizure became part of more than 3,000 kilograms of cocaine, worth more than $107 million, seized by Bertholf during a recent patrol in support of the Joint Inter-Agency Task Force off Central America.
Kurtis says each bale of cocaine the ship seizes when it is out to sea makes America a better, safer place.
“How many lives of families and police officers are improved by not having contact with those drugs?” he asks. “How many kids’ homes aren’t being destroyed?”
Those intangibles may be hard to measure, but the quantity of drugs seized by the Coast Guard’s national security cutters is not. In fiscal year 2017, the Coast Guard and its partner agencies intercepted 455,000 pounds of cocaine before it got to American shores. Of that amount, more than one-third was seized by national security cutters such as Bertholf. The total street value of the cocaine was more than $6 billion.
Kurtis, who is married with a two-year-old son and another child on the way, says it’s hard to leave family behind for the demanding deployments his job has required. Mission success makes the separation worthwhile, he says, but he also is looking forward to his next duty station, a shore-based unit in San Francisco.
“Some days I felt like the day would never come,” he says of the approaching end of his time on Bertholf. “And other days I really don’t want it to come.”
Do you know someone who embodies the Coast Guard Core Values of Honor, Respect, Devotion to Duty ? Please submit your nominations using the by emailing the Social Media team.


{
	id = 'https://coastguard.dodlive.mil/?p=47420',
	category = 'hrdd',
	date = 'Fri, 10 May 2019 13:00:38 +0000',
	author = 'Diana Sherbs',
	summary = '<img width=""600"" height=""300"" src=""https://coastguard.dodlive.mil/files/2019/05/Kurtis-feature-600x3',
	guid = 'https://coastguard.dodlive.mil/?p=47420',
	link = 'https://coastguard.dodlive.mil/2019/05/hrdd-me3-denim-kurtis/',
	tagline = '<img width=""600"" height=""300"" src=""https://coastguard.dodlive.mil/files/2019/05/Kurtis-feature-600x3',
	title = 'Honor, Respect, Devotion to Duty: ME3 Denim Kurtis',
	description = '<img width=""600"" height=""300"" src=""https://coastguard.dodlive.mil/files/2019/05/Kurtis-feature-600x3',
	modified = 'Fri, 10 May 2019 13:00:38 +0000',
	title_detail = '{type: 'text/plain', value: 'Honor, Respect, Devotion to Duty: ME3 Denim Kurtis'}',
	links = [{rel: 'alternate', type: 'text/plain', value: 'https://coastguard.dodlive.mil/2019/05/hrdd-me3-denim-kurtis/'}]',
	categories = [{term: 'Shipmates', schedule: 'null', label: 'null'}, {term: 'coast guard cutter bertholf', schedule: 'null', label: 'null'}, {term: 'honor respect devotion to duty', schedule: 'null', label: 'null'}, {term: 'hrdd', schedule: 'null', label: 'null'}]',
	modifed = 'Fri May 10 13:00:38 UTC 2019'
}
",,,
COLLECT10126687765,COLLECT10126687765,Image 0 - https://coastguardnews.com/coast-guard-cutter-munro-returns-home-to-alameda-following-98-day-counterdrug-patrol/2019/07/15/,GDELT5177331851563368456836_0.jpg,None,None,None,None,7654,"This document has no article text.
",18556_GDELT5177331851563368456836_0.jpg,18556_GDELT5177331851563368456836_0.jpg,
COLLECT10126687602,COLLECT10126687602,https://coastguardnews.com/coast-guard-cutter-munro-returns-home-to-alameda-following-98-day-counterdrug-patrol/2019/07/15/,GDELT5177331851563368456836.pdf,None,None,None,None,7431,"Petty Officer 2nd Class Marcus Lee, an electronics technician aboard Coast Guard Cutter Munro, hugs his dog in Alameda, California, after returning to homeport, July 15, 2019.  (U.S. Coast Guard photo by Seaman Ryan Estrada)  ALAMEDA, Calif. – The crew aboard Coast Guard Cutter Munro (WMSL 755) returned home to Alameda Monday following a three month counter-drug patrol in international waters off the coasts of Central and South America in the Eastern Pacific Ocean.  This was Munro’s first counter-drug patrol since its commissioning in 2017, and resulted in drug seizures onboard five “panga” style vessels, one low-profile go-fast vessel, one fishing vessel, and one self-propelled semi-submersible vessel.  The interdiction of the self-propelled semi-submersible on June 18th resulted in the removal of over 17000 pounds of cocaine, worth an estimated $232 million, making it the Coast Guard’s largest single seizure since 2015. The eight interdictions resulted in the total seizure of more than 31,000 pounds of illicit narcotics worth an estimated $467 million in wholesale value.  During the patrol, Munro’s crew conducted over 230 flight evolutions with an embarked helicopter from the Coast Guard’s Helicopter Interdiction Tactical Squadron (HITRON), which specializes in providing airborne use of force during maritime drug interdiction efforts.  Munro’s embarked HITRON team utilized disabling fire on the outboard engines of two fleeing suspect vessels, allowing the cutter’s boarding teams to gain positive control. This was HITRON’s most successful deployment since the unit’s inception twenty years ago.  “I’m incredibly proud of this crew and their accomplishments,” said MUNRO’s Commanding Officer, Capt. James Estramonte. “The success of this patrol is a testament to their hard work and dedication. As they spend some well-deserved down time with their families, they can rest assured that they’ve made a difference by preventing this poison from reaching our streets, and that they’ve taken some of the profits out of the pockets of international drug cartels.”  The Munro offloaded the contraband, along with 8000 pounds of drugs seized by two other Coast Guard cutters, last Thursday in San Diego. The total amount offload was over 39,000 pounds of cocaine and 933 pounds of marijuana, worth an estimated $569 million.  Vice President Pence, James W. Carroll, director of the Office of National Drug Control Policy, DEA acting administrator Uttam Dhillon, and Vice Adm. Linda Fagan, commander of Coast Guard Pacific Area, attended the event and gave remarks to the crew and media.  “Our men and women on the frontlines face the highest levels of cocaine cultivation and smuggling ever, and the mission of our Coast Guard crews is fraught with challenge,” said Fagan.  70% of the Coast Guard’s offshore presence is the service’s aging fleet of medium endurance cutters, many of which are over 50 years old, Fagan noted. “In order to maximize effectiveness, their replacements, the Offshore Patrol Cutters, must feature the same advanced capabilities that national security cutters like Munro have utilized to be so successful.”  The Munro is the sixth of the Coast Guard’s legend class national security cutters. National security cutters feature advanced command-and-control capabilities, aviation support facilities, stern cutter boat launch and increased endurance for long-range patrols to disrupt threats to national security further offshore.
",,,https://coastguardnews.com/coast-guard-cutter-munro-returns-home-to-alameda-following-98-day-counterdrug-patrol/2019/07/15/
COLLECT10126163458,COLLECT10126163458,https://www.navytimes.com/news/your-navy/2019/07/11/vp-pence-lauds-coast-guard-crew-for-massive-cocaine-haul/,GDELT-20947687301563078875990.pdf,"Child,Child","COLLECT10126163638,COLLECT10126163640","Image 0 - https://www.navytimes.com/news/your-navy/2019/07/11/vp-pence-lauds-coast-guard-crew-for-massive-cocaine-haul/,Image 1 - https://www.navytimes.com/news/your-navy/2019/07/11/vp-pence-lauds-coast-guard-crew-for-massive-cocaine-haul/","Attachment,Attachment",9606,"Coast Guard interdicts drug sub in insane video U.S. Coast Guard cutter Munro crew members captured a submersible last month hauling 16,000 pounds of cocaine. (Video Courtesy U.S. Coast Guard)  Vice President Mike Pence stopped by Naval Air Station North Island near San Diego on Thursday to honor the crew of the Coast Guard cutter Munro , which offloaded nearly 20 tons of cocaine seized during recent counter-narcotics operations.  Flanked by bricks of cocaine nabbed by the Munro as well as the cutters Vigorous and Mohawk , Pence lauded the Coasties for “this momentous occasion and this historic offload.”  “I came here today on behalf of your commander in chief and the American people to say thank you for a job well done,” Pence told the crew. “And welcome home.”  The patrol by the three cutters across large swaths of the Eastern Pacific confiscated more than 18,000 kilograms of cocaine — plus 423 kilograms of marijuana — that officials estimate is worth $569 million on the street.  Officials also released harrowing footage of a drug bust at sea that featured Munro’s crew members leaping onto a narco-sub as it tried to flee. Crew members on board the U.S. Coast Guard cutter Munro’s 35-foot Long Range Interceptor small boat supervise the intentional sinking of suspected drug-smuggling boats on May 17 in the Eastern Pacific Ocean. (Coast Guard)  During his address, Pence touted President Donald J. Trump’s support for the Coast Guard, telling the crew they “have a commander in chief who will always have your back.” Sign up for the Navy Times Daily News Roundup Don't miss the top Navy stories, delivered each afternoon Subscribe Enter a valid email address (please select a country) United States United Kingdom Afghanistan Albania Algeria American Samoa Andorra Angola Anguilla Antarctica Antigua and Barbuda Argentina Armenia Aruba Australia Austria Azerbaijan Bahamas Bahrain Bangladesh Barbados Belarus Belgium Belize Benin Bermuda Bhutan Bolivia Bosnia and Herzegovina Botswana Bouvet Island Brazil British Indian Ocean Territory Brunei Darussalam Bulgaria Burkina Faso Burundi Cambodia Cameroon Canada Cape Verde Cayman Islands Central African Republic Chad Chile China Christmas Island Cocos (Keeling) Islands Colombia Comoros Congo Congo, The Democratic Republic of The Cook Islands Costa Rica Cote D'ivoire Croatia Cuba Cyprus Czech Republic Denmark Djibouti Dominica Dominican Republic Ecuador Egypt El Salvador Equatorial Guinea Eritrea Estonia Ethiopia Falkland Islands (Malvinas) Faroe Islands Fiji Finland France French Guiana French Polynesia French Southern Territories Gabon Gambia Georgia Germany Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guam Guatemala Guinea Guinea-bissau Guyana Haiti Heard Island and Mcdonald Islands Holy See (Vatican City State) Honduras Hong Kong Hungary Iceland India Indonesia Iran, Islamic Republic of Iraq Ireland Israel Italy Jamaica Japan Jordan Kazakhstan Kenya Kiribati Korea, Democratic People's Republic of Korea, Republic of Kuwait Kyrgyzstan Lao People's Democratic Republic Latvia Lebanon Lesotho Liberia Libyan Arab Jamahiriya Liechtenstein Lithuania Luxembourg Macao Macedonia, The Former Yugoslav Republic of Madagascar Malawi Malaysia Maldives Mali Malta Marshall Islands Martinique Mauritania Mauritius Mayotte Mexico Micronesia, Federated States of Moldova, Republic of Monaco Mongolia Montserrat Morocco Mozambique Myanmar Namibia Nauru Nepal Netherlands Netherlands Antilles New Caledonia New Zealand Nicaragua Niger Nigeria Niue Norfolk Island Northern Mariana Islands Norway Oman Pakistan Palau Palestinian Territory, Occupied Panama Papua New Guinea Paraguay Peru Philippines Pitcairn Poland Portugal Puerto Rico Qatar Reunion Romania Russian Federation Rwanda Saint Helena Saint Kitts and Nevis Saint Lucia Saint Pierre and Miquelon Saint Vincent and The Grenadines Samoa San Marino Sao Tome and Principe Saudi Arabia Senegal Serbia and Montenegro Seychelles Sierra Leone Singapore Slovakia Slovenia Solomon Islands Somalia South Africa South Georgia and The South Sandwich Islands Spain Sri Lanka Sudan Suriname Svalbard and Jan Mayen Swaziland Sweden Switzerland Syrian Arab Republic Taiwan, Province of China Tajikistan Tanzania, United Republic of Thailand Timor-leste Togo Tokelau Tonga Trinidad and Tobago Tunisia Turkey Turkmenistan Turks and Caicos Islands Tuvalu Uganda Ukraine United Arab Emirates United Kingdom United States United States Minor Outlying Islands Uruguay Uzbekistan Vanuatu Venezuela Viet Nam Virgin Islands, British Virgin Islands, U.S. Wallis and Futuna Western Sahara Yemen Zambia Zimbabwe Subscribe

By: Leo Shane III  To help combat drug smugglers on the high seas, Pence pointed to recent and robust budgets for the Coast Guard.  “We are committed to fully funding our Coast Guard and replacing old ship with new ones, just like the U.S. Coast Guard cutter Munro,” he said. “Get ready, more help is on the way.”  Homeported in Alameda, California, the $487 million Legend-class Munro was commissioned two years ago.  That’s decades younger than the Famous-class cutter Mohawk and the Reliance-class cutter Vigorous that joined its counter-narcotics operations from homeports in Virginia Beach and Key West. About this Author
",,,https://www.navytimes.com/news/your-navy/2019/07/11/vp-pence-lauds-coast-guard-crew-for-massive-cocaine-haul/
COLLECT10126750850,COLLECT10126750850,Image 2 - man arrested at spanish airport with one pound of cocaine under wig_3004285,GDELT-11681150441563390539376_2.jpg,None,None,None,None,3313,"This document has no article text.
",19074_GDELT-11681150441563390539376_2.jpg,19074_GDELT-11681150441563390539376_2.jpg,
COLLECT10126750848,COLLECT10126750848,Image 1 - man arrested at spanish airport with one pound of cocaine under wig_3004285,GDELT-11681150441563390539376_1.jpg,None,None,None,None,3313,"This document has no article text.
",67600_GDELT-11681150441563390539376_1.jpg,67600_GDELT-11681150441563390539376_1.jpg,
COLLECT10125889349,COLLECT10125889349,u s coast guard seizes 39k pounds of cocaine,GDELT-13854938681563010447174.pdf,"Child,Child,Child,Child","COLLECT10125889546,COLLECT10125889548,COLLECT10125889549,COLLECT10125889550","Image 0 - u s coast guard seizes 39k pounds of cocaine,Image 1 - u s coast guard seizes 39k pounds of cocaine,Image 2 - u s coast guard seizes 39k pounds of cocaine,Image 3 - u s coast guard seizes 39k pounds of cocaine","Attachment,Attachment,Attachment,Attachment",6868,"A U.S. Coast Guard crew turned over 39,000 pounds of cocaine and 933 pounds of marijuana in San Diego on Thursday.  SAN DIEGO, Calif. — A U.S. Coast Guard crew turned over 39,000 pounds of cocaine and 933 pounds of marijuana in San Diego on Thursday.  The drugs are estimated to be work $569 million combined. They were seized in international waters in the Eastern Pacific Ocean.  The crew of U.S. Coast Guard Cutter Munro were welcomed back by Vice President Mike Pence, which the Coast Guard live streamed on Facebook.  The drugs represent 14 separate suspected drug smuggling vessel interdictions and disruptions off the coasts of Mexico, Central and South America by three Coast Guard cutters between May and July 2019, according to officials.  RELATED: VIDEO: US Coast Guard board moving narco-sub at sea carrying 16,000 pounds of cocaine U.S. Coast Guard Cutter Munro (WMSL 755) crew members aboard the cutter’s 35-foot Long Range Interceptor small boat supervising the intentional sinking of suspected drug-smuggling boats May 17, 2019, following the seizure of cocaine from the boats during an at-sea interdiction while Munro’s crew patrolled international waters of the Eastern Pacific Ocean. Due to the distance from land, inadequate tow points and flooding in the engine rooms of the boats, the boats were sunk as a hazard to navigation. U.S. Coast Guard photo  ""The fight against drug cartels in the Eastern Pacific requires unity of effort in all phases from detection, monitoring and interdictions, to criminal prosecutions by U.S. Attorneys in districts across the nation,"" the Coast Guard said in a press release.  The Coast Guard says increased U.S. and allied presence in the Eastern Pacific Ocean and Caribbean Basin are part of its Western Hemisphere Strategy. They say those areas are known drug transit zones. The engine housings of a go-fast boat has bullet holes June 25, 2019, in international waters of the Eastern Pacific Ocean. A Helicopter Interdiction Tactical Squadron precision marksman used disabling-gunfire to stop the boat during a Coast Guard interdiction. During at-sea interdictions in international waters, a suspect vessel is initially detected and monitored by allied, military or law enforcement personnel coordinated by Joint Interagency Task Force-South based in Key West, Florida, and the interdictions including the boardings are led and conducted by members of the U.S. Coast Guard. U.S. Coast Guard photo  Copyright 2019 Scripps Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
",,,https://www.abcactionnews.com/news/national/u-s-coast-guard-seizes-39k-pounds-of-cocaine
COLLECT10125894184,COLLECT10125894184,Image 1 - https://www.navytimes.com/news/your-navy/2019/07/11/vp-pence-lauds-coast-guard-crew-for-massive-cocaine-haul/,GDELT-18827075961563022057902_1.jpg,None,None,None,None,3152,"This document has no article text.
",12376_GDELT-18827075961563022057902_1.jpg,12376_GDELT-18827075961563022057902_1.jpg,
COLLECT10126750845,COLLECT10126750845,Image 0 - man arrested at spanish airport with one pound of cocaine under wig_3004285,GDELT-11681150441563390539376_0.jpg,None,None,None,None,3313,"This document has no article text.
",86770_GDELT-11681150441563390539376_0.jpg,86770_GDELT-11681150441563390539376_0.jpg,
COLLECT1009556374,COLLECT1009556374,WATCH: U.S. Coast Guard Boards Suspected Narco-Sub In High-Speed Chase,12065672031562960125798.pdf,None,None,None,None,6534,"U.S. Coast Guard Cutter Munro crew members board a semi-submersible suspected of carrying drugs on June 18 while operating in international waters of the Eastern Pacific Ocean. U.S. Coast Guard hide caption
toggle caption
U.S. Coast Guard
U.S. Coast Guard Cutter Munro crew members board a semi-submersible suspected of carrying drugs on June 18 while operating in international waters of the Eastern Pacific Ocean.
U.S. Coast Guard
A high-speed chase involving a suspected narco-submarine out in the eastern Pacific Ocean offers a look into just how dangerous the U.S. Coast Guard's operations to combat drug smuggling can be.
The dramatic, one-minute video was recorded by a member of the Coast Guard wearing a helmet camera on June 18. It was released on Thursday.
""Stop your boat!"" a Coast Guard member's voice can be heard repeatedly shouting in Spanish.
But the self-propelled, semi-submersible speeds ahead in the international waters of the Pacific. ""That's going to be hard to get on,"" the man says.
The U.S. Coast Guard cutter Munro gets closer to the vessel, and a person is able to climb aboard and pound on the vessel's hatch. A suspected drug smuggler emerges, hands in the air.
That's where the footage stops.
The craft was reportedly holding more than 17,000 pounds of cocaine, valued at about $232 million, according to The Washington Post .
Such vessels are built to evade detection while holding large amounts of illegal imports, the Coast Guard said in a description accompanying the video .
""They're like the White Whale,"" Lt. Cmdr. Stephen Brickey told the newspaper. ""They're pretty rare. For us to get one, it's a significant event.""
That's because smugglers often will open a valve and purposefully sink their vessels to avoid seizure, dispersing evidence of suspected crimes into the ocean. Brickey told the Post that law enforcement often has just one or two minutes to evaluate whether a vessel they boarded is heading to the ocean floor.
Federal Agents Seize Cargo Ship Linked To Massive Cocaine Bust In Philadelphia
A Coast Guard aircraft initially spotted the semi-submersible and then two boats stealthily approached, CNN reported . It added that all five people on the seized vessel were handed over to the U.S. Drug Enforcement Administration.
Vice President Pence attended an offloading event Thursday at Naval Air Station North Island in San Diego involving 39,000 pounds of cocaine and 933 pounds of marijuana seized from suspected drug smugglers in the Eastern Pacific, including the cocaine from the semi-submersible.
Those drugs — worth some $569 million — were seized by three Coast Guard cutters in busts between May and July.
Embed
Embed
<iframe src=""https://www.npr.org/player/embed/741010832/741032751"" width=""100%"" height=""290"" frameborder=""0"" scrolling=""no"" title=""NPR embedded audio player"">
Up First


{
	id = 'https://www.npr.org/2019/07/12/741070978/watch-u-s-coast-guard-boards-suspected-narco-sub-in-high-sp',
	date = 'Fri, 12 Jul 2019 14:12:57 -0400',
	author = 'Sasha Ingber',
	summary = '<img src=""https://media.npr.org/assets/img/2019/07/12/uscg-bust_wide-1f617933e6c8fee5df6c792b1b82724',
	guid = 'https://www.npr.org/2019/07/12/741070978/watch-u-s-coast-guard-boards-suspected-narco-sub-in-high-sp',
	link = 'https://www.npr.org/2019/07/12/741070978/watch-u-s-coast-guard-boards-suspected-narco-sub-in-high-sp',
	title = 'WATCH: U.S. Coast Guard Boards Suspected Narco-Sub In High-Speed Chase',
	tagline = 'The semi-submersible vessel was reportedly carrying more than 17,000 pounds of cocaine, worth some $',
	description = '<img src=""https://media.npr.org/assets/img/2019/07/12/uscg-bust_wide-1f617933e6c8fee5df6c792b1b82724',
	modified = 'Fri, 12 Jul 2019 14:12:57 -0400',
	content =[{type: 'text/html', value: '<img src=""https://media.npr.org/assets/img/2019/07/12/uscg-bust_wide-1f617933e6c8fee5df6c792b1b82724'}],
	title_detail = '{type: 'text/plain', value: 'WATCH: U.S. Coast Guard Boards Suspected Narco-Sub In High-Speed Chase'}',
	links = [{rel: 'alternate', type: 'text/plain', value: 'https://www.npr.org/2019/07/12/741070978/watch-u-s-coast-guard-boards-suspected-narco-sub-in-high-speed-chase?utm_medium=RSS&utm_campaign=news'}]',
	modifed = 'Fri Jul 12 18:12:57 UTC 2019'
}
",,,
