id,location,Title,FIM_EnName
COLLECT1013561923,"10.350946999789203\,123.91078199999998",Dona Rita Guard House,Dona Rita Guard House
COLLECT1013561850,"14.448152999778332\,120.982605",Las Piñas Police District,The Pineapples Police District
COLLECT1013561883,"14.69856599977921\,120.980637,Maysan","Bikini Bottom\, Maysan","Bikini Bottom\, Maysan"
COLLECT1013699959,"2.0495299999454684\,103.29934699999998",22 Skuadron Regimen Askar Jurutera Diraja,22 Squadron Regiment Royal Engineer Soldiers
COLLECT1013701065,"3.1727269999168053\,101.743896",ReenpiT 82,ReenpiT 82
COLLECT1013699985,"3.1274679999179535\,101.75382200000001",Jamban Bangunan Dan Senibina,Building and Architectural Toilet
COLLECT1013700112,"2.1312089999433437\,111.513641",Bilik Termenung,Reflexive room
COLLECT1013699903,"3.249006999914921\,101.568588",军事基地,Military bases
COLLECT1013700967,"2.935477999922745\,101.327766",Tek Platun 7 Pulau Indah,Tech Platun 7 Pulau Indah
COLLECT1013700052,"2.291180999939193\,102.089348",Delta comp 17 RAMD Para,Delta comp 17 RAMD Para
COLLECT1013700097,"2.2790099999394955\,102.78748300000002",FBI Maju Enterprise,FBI Maju Enterprise
COLLECT1013700668,"3.060398999919603\,101.667824",Expar Paranormal Research Lab,Expar Paranormal Research Lab
COLLECT1013699910,"3.1240359999180347\,101.545395",Aviation Design C,Aviation Design C
COLLECT1013700735,"2.273088999939654\,102.288933",Miko's Ambassy,Miko's Ambassy
COLLECT1013700151,"3.1837539999165543\,101.698418",Makmal Rahsia Haikal,Haikal&#39;s Secret Laboratory
COLLECT1013700796,"4.374589999887903\,100.946312",Bilik {Bazli} 3-4 Hostel Jantan KPMSI,{Bazli} Room 3-4 Male Hostel KPMSI
COLLECT1013700228,"3.222955999915559\,101.71571399999999",Tkt 13 Wisma Pertahanan,Tkt 13 Pensions Defense
COLLECT1013700331,"5.862310999855501\,116.04862200000001",Pejabat Kem 5 Briged,Camp Office 5 Brigades
COLLECT1013700127,"2.9271739999229673\,101.662735",UKGS Command Centre,UKGS Command Centre
COLLECT1013700531,"3.1245799999180184\,101.647408",Dialog Catalyst Services,Dialog Catalyst Services
COLLECT1013699926,"5.764575999857503\,102.220192",01118888908,01118888908
